Model,MDO3034
Firmware Version,1.08

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-05,
Horizontal Delay,0,
Sample Interval,2e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Vertical Position,0.06,0
,,
,,
,,
Label,M2024,M2030
TIME,CH1,CH4
-1.000000e-04,1.42,0
-9.998000e-05,1.42,-0.04
-9.996000e-05,1.38,0
-9.994000e-05,1.38,-0.04
-9.992000e-05,1.42,-0.04
-9.990000e-05,1.42,-0.04
-9.988000e-05,1.42,-0.04
-9.986000e-05,1.46,0
-9.984000e-05,1.42,-0.04
-9.982000e-05,1.42,-0.04
-9.980000e-05,1.42,0
-9.978000e-05,1.38,-0.08
-9.976000e-05,1.42,0
-9.974000e-05,1.42,-0.04
-9.972000e-05,1.42,-0.04
-9.970000e-05,1.38,-0.04
-9.968000e-05,1.42,-0.04
-9.966000e-05,1.42,-0.04
-9.964000e-05,1.38,-0.04
-9.962000e-05,1.46,0
-9.960000e-05,1.38,-0.04
-9.958000e-05,1.42,0
-9.956000e-05,1.38,-0.04
-9.954000e-05,1.42,-0.04
-9.952000e-05,1.42,-0.04
-9.950000e-05,1.42,-0.04
-9.948000e-05,1.38,0
-9.946000e-05,1.42,0
-9.944000e-05,1.38,-0.04
-9.942000e-05,1.42,-0.04
-9.940000e-05,1.42,-0.04
-9.938000e-05,1.38,0
-9.936000e-05,1.42,0
-9.934000e-05,1.38,0
-9.932000e-05,1.42,-0.04
-9.930000e-05,1.42,-0.04
-9.928000e-05,1.42,-0.04
-9.926000e-05,1.38,-0.04
-9.924000e-05,1.42,-0.04
-9.922000e-05,1.42,-0.04
-9.920000e-05,1.46,0
-9.918000e-05,1.42,-0.04
-9.916000e-05,1.42,0
-9.914000e-05,1.38,-0.04
-9.912000e-05,1.42,-0.04
-9.910000e-05,1.42,-0.04
-9.908000e-05,1.42,-0.04
-9.906000e-05,1.42,0
-9.904000e-05,1.42,-0.04
-9.902000e-05,1.42,0
-9.900000e-05,1.42,-0.04
-9.898000e-05,1.38,-0.04
-9.896000e-05,1.42,-0.04
-9.894000e-05,1.42,-0.04
-9.892000e-05,1.42,0
-9.890000e-05,1.42,-0.04
-9.888000e-05,1.38,0
-9.886000e-05,1.38,-0.04
-9.884000e-05,1.38,-0.04
-9.882000e-05,1.42,-0.04
-9.880000e-05,1.46,-0.04
-9.878000e-05,1.42,-0.04
-9.876000e-05,1.42,-0.04
-9.874000e-05,1.38,-0.04
-9.872000e-05,1.42,-0.04
-9.870000e-05,1.42,-0.04
-9.868000e-05,1.38,-0.04
-9.866000e-05,1.46,-0.04
-9.864000e-05,1.42,-0.04
-9.862000e-05,1.46,-0.04
-9.860000e-05,1.38,-0.04
-9.858000e-05,1.46,0
-9.856000e-05,1.42,-0.04
-9.854000e-05,1.42,-0.04
-9.852000e-05,1.38,0
-9.850000e-05,1.38,-0.04
-9.848000e-05,1.42,0
-9.846000e-05,1.42,-0.04
-9.844000e-05,1.42,-0.04
-9.842000e-05,1.38,0
-9.840000e-05,1.42,0
-9.838000e-05,1.42,0
